_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,if_you_had_difficulties_answering_these_questions_please_explain_here_why,speaker_a__is_selfcentered,speaker_a_gives_up_his_position_in_the_negotiation,speaker_a_is_demanding,speaker_a_likes_italian_restaurants,speaker_a_makes_concessions_in_the_negotiation,speaker_a_presses_his_position_in_the_negotiation,speaker_a_takes_his_friends_preferences_into_account_in_the_choice_of_the_restaurant,speaker_a_takes_the_initiative_in_the_negotiation,speaker_a_takes_the_lead_in_the_negotiation,speaker_b_doesnt_like_chinese_restaurants,speaker_b_gives_up_his_position_in_the_negotiation,speaker_b_is_demanding,speaker_b_is_selfcentered,speaker_b_makes_concessions_in_the_negotiation,speaker_b_presses_his_position_in_the_negotiation,speaker_b_takes_his_friends_preferences_into_account_in_the_choice_of_the_restaurant,speaker_b_takes_the_initiative_in_the_negotiation,speaker_b_takes_the_lead_in_the_negotiation,content,if_you_had_difficulties_answering_these_questions_please_explain_here_why_gold,speaker_a__is_selfcentered_gold,speaker_a_gives_up_his_position_in_the_negotiation_gold,speaker_a_is_demanding_gold,speaker_a_likes_italian_restaurants_gold,speaker_a_makes_concessions_in_the_negotiation_gold,speaker_a_presses_his_position_in_the_negotiation_gold,speaker_a_takes_his_friends_preferences_into_account_in_the_choice_of_the_restaurant_gold,speaker_a_takes_the_initiative_in_the_negotiation_gold,speaker_a_takes_the_lead_in_the_negotiation_gold,speaker_b_doesnt_like_chinese_restaurants_gold,speaker_b_gives_up_his_position_in_the_negotiation_gold,speaker_b_is_demanding_gold,speaker_b_is_selfcentered_gold,speaker_b_makes_concessions_in_the_negotiation_gold,speaker_b_presses_his_position_in_the_negotiation_gold,speaker_b_takes_his_friends_preferences_into_account_in_the_choice_of_the_restaurant_gold,speaker_b_takes_the_initiative_in_the_negotiation_gold,speaker_b_takes_the_lead_in_the_negotiation_gold
1168714456,3/1/2017 14:57:40,2407679527,3/1/2017 14:54:40,false,elite,1.0,42251423,USA,MS,Flowood,192.240.212.4,,4,2,4,2,2,4,2,4,5,4,3,2,3,4,3,4,2,2,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like Italian restaurants?""<br><br>A: ""I don't like Italian restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like French restaurants?""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like French restaurants?""<br><br>A: ""I don't like French restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like Korean restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to a restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the south side.""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Shanghai restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714456,3/1/2017 14:59:19,2407680699,3/1/2017 14:55:56,false,bitcoinget,0.7222,41184481,USA,NY,Buffalo,23.229.16.228,,2,2,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like Italian restaurants?""<br><br>A: ""I don't like Italian restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like French restaurants?""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like French restaurants?""<br><br>A: ""I don't like French restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like Korean restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to a restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the south side.""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Shanghai restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714456,3/1/2017 15:01:09,2407681960,3/1/2017 14:59:37,false,instagc,0.6852,32547262,USA,PA,Reading,73.187.87.191,,4,2,4,2,2,4,2,4,4,4,4,2,2,4,4,3,3,4,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like Italian restaurants?""<br><br>A: ""I don't like Italian restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like French restaurants?""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like French restaurants?""<br><br>A: ""I don't like French restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like Korean restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to a restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the south side.""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Shanghai restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714456,3/1/2017 15:01:12,2407681983,3/1/2017 14:58:12,false,elite,0.2037,39315184,USA,NJ,Edison,196.53.44.53,,5,4,5,1,3,5,1,5,5,5,5,2,1,4,4,4,2,2,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like Italian restaurants?""<br><br>A: ""I don't like Italian restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like French restaurants?""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like French restaurants?""<br><br>A: ""I don't like French restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like Korean restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to a restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the south side.""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Shanghai restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714456,3/1/2017 15:03:04,2407683218,3/1/2017 15:00:26,false,personaly,0.4222,35407670,USA,WI,Woodruff,24.183.119.155,,2,2,2,3,4,2,5,2,4,2,4,4,2,4,4,2,4,4,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like Italian restaurants?""<br><br>A: ""I don't like Italian restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like French restaurants?""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like French restaurants?""<br><br>A: ""I don't like French restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like Korean restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to a restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the south side.""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Shanghai restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714456,3/1/2017 15:03:35,2407683534,3/1/2017 15:01:04,false,clixsense,0.2685,6576528,CAN,SK,Regina,24.72.133.122,Nothing,3,3,4,2,3,3,5,2,5,5,5,5,5,5,5,5,5,5,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like Italian restaurants?""<br><br>A: ""I don't like Italian restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like French restaurants?""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like French restaurants?""<br><br>A: ""I don't like French restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like Korean restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to a restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the south side.""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Shanghai restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714456,3/1/2017 15:05:09,2407684478,3/1/2017 15:01:47,false,neodev,0.373,39188908,USA,CA,Glendale,71.93.119.153,,5,1,4,1,2,5,2,5,5,5,5,3,3,5,4,4,1,2,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like Italian restaurants?""<br><br>A: ""I don't like Italian restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like French restaurants?""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like French restaurants?""<br><br>A: ""I don't like French restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like Korean restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to a restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the south side.""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Shanghai restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714456,3/1/2017 15:05:24,2407684592,3/1/2017 15:02:01,false,neodev,0.3056,36660151,USA,UT,Spanish Fork,160.7.237.234,,1,5,4,1,5,2,1,1,5,5,1,3,1,5,4,5,1,5,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like Italian restaurants?""<br><br>A: ""I don't like Italian restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like French restaurants?""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like French restaurants?""<br><br>A: ""I don't like French restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like Korean restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to a restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the south side.""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Shanghai restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714456,3/1/2017 15:08:01,2407686610,3/1/2017 15:04:46,false,clixsense,0.4136,24785317,JAM,08,Kingston,72.252.29.32,,2,2,2,1,4,4,4,4,4,5,2,4,2,4,4,4,2,2,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like Italian restaurants?""<br><br>A: ""I don't like Italian restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like French restaurants?""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like French restaurants?""<br><br>A: ""I don't like French restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like Korean restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to a restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the south side.""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Shanghai restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714456,3/1/2017 15:08:29,2407686914,3/1/2017 15:05:59,false,clixsense,0.3556,29095456,IRL,07,Dublin,89.101.10.65,,3,2,4,1,1,4,1,3,4,5,4,2,4,4,2,5,4,3,"<br>A: ""Let's go to a Chinese restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""I don't like Chinese restaurants, let's choose something else.""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like Italian restaurants?""<br><br>A: ""I don't like Italian restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like French restaurants?""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like French restaurants?""<br><br>A: ""I don't like French restaurants.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Do you like Korean restaurants?""<br><br>A: ""Let's go to a cheap restaurant.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a cheap restaurant.""<br><br>A: ""Let's go to a restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the south side.""<br><br>A: ""Let's go to the Shanghai. It's a quiet, cheap Chinese restaurant on the south side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Shanghai restaurant.""<br>",,,,,,,,,,,,,,,,,,,
