_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,if_you_had_difficulties_answering_these_questions_please_explain_here_why,speaker_a__is_being_guided_by_the_other_speaker_during_the_dialogue,speaker_a__leads_the_dialogue,speaker_a_is_demanding_concerning_the_choice_of_the_restaurant,speaker_a_is_flexible_in_the_choice_of_the_restaurant,speaker_a_only_considers_hisher_own_preferences_in_choosing_a_restaurant,speaker_a_takes_the_preferences_of_the_other_speaker_into_account_in_choosing_a_restaurant,speaker_b_is_being_guided_by_the_other_speaker_during_the_dialogue,speaker_b_is_demanding_concerning_the_choice_of_the_restaurant,speaker_b_is_flexible_in_the_choice_of_the_restaurant,speaker_b_leads_the_dialogue,speaker_b_likes__japanese_food,speaker_b_only_considers_hisher_own_preferences_in_choosing_a_restaurant,speaker_b_takes_the_preferences_of_the_other_speaker_into_account_in_choosing_a_restaurant,the_two_friends_chose_a_french_restaurant,content,if_you_had_difficulties_answering_these_questions_please_explain_here_why_gold,speaker_a__is_being_guided_by_the_other_speaker_during_the_dialogue_gold,speaker_a__leads_the_dialogue_gold,speaker_a_is_demanding_concerning_the_choice_of_the_restaurant_gold,speaker_a_is_flexible_in_the_choice_of_the_restaurant_gold,speaker_a_only_considers_hisher_own_preferences_in_choosing_a_restaurant_gold,speaker_a_takes_the_preferences_of_the_other_speaker_into_account_in_choosing_a_restaurant_gold,speaker_b_is_being_guided_by_the_other_speaker_during_the_dialogue_gold,speaker_b_is_demanding_concerning_the_choice_of_the_restaurant_gold,speaker_b_is_flexible_in_the_choice_of_the_restaurant_gold,speaker_b_leads_the_dialogue_gold,speaker_b_likes__japanese_food_gold,speaker_b_only_considers_hisher_own_preferences_in_choosing_a_restaurant_gold,speaker_b_takes_the_preferences_of_the_other_speaker_into_account_in_choosing_a_restaurant_gold,the_two_friends_chose_a_french_restaurant_gold
1048705549,9/23/2016 13:00:28,2135152632,9/23/2016 12:59:55,false,clixsense,0.5357,36406175,ESP,55,León,81.33.82.24,,2,4,2,2,3,1,4,3,2,2,2,3,2,2," <b> A:  ""What kind of food do you like?""  <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Japanese is my favorite food."" <br> <br> A:  ""Let's eat Japanese food tonight.""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, let's eat Japanese."" <br> <br> A: ""Let's go to the Samura restaurant"" <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Sorry, I'd rather choose something else."" <br> <br> A:  ""Do you prefer noisy or quiet restaurants?""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""I prefer quiet restaurants."" <br> <br> A: "" Let's go to a quiet
restaurant."" <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, let's choose a quiet restaurant. <br> <br> A:  ""Let's go to the Jiliya restaurant""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, I'll call to book a table.""<br> <br> </b>",,,,,,,,,,,,,,,
1048705549,9/23/2016 13:00:31,2135152671,9/23/2016 13:00:04,false,neodev,0.5357,38781621,DZA,"","",197.118.179.25,,4,3,4,4,4,3,4,4,4,3,4,4,3,3," <b> A:  ""What kind of food do you like?""  <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Japanese is my favorite food."" <br> <br> A:  ""Let's eat Japanese food tonight.""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, let's eat Japanese."" <br> <br> A: ""Let's go to the Samura restaurant"" <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Sorry, I'd rather choose something else."" <br> <br> A:  ""Do you prefer noisy or quiet restaurants?""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""I prefer quiet restaurants."" <br> <br> A: "" Let's go to a quiet
restaurant."" <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, let's choose a quiet restaurant. <br> <br> A:  ""Let's go to the Jiliya restaurant""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, I'll call to book a table.""<br> <br> </b>",,,,,,,,,,,,,,,
1048705549,9/23/2016 13:02:50,2135156372,9/23/2016 12:58:45,false,clixsense,0.4643,36792520,POL,84,Skarzysko-kamienna,91.239.249.134,,2,4,4,4,2,3,3,0,2,1,4,2,1,2," <b> A:  ""What kind of food do you like?""  <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Japanese is my favorite food."" <br> <br> A:  ""Let's eat Japanese food tonight.""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, let's eat Japanese."" <br> <br> A: ""Let's go to the Samura restaurant"" <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Sorry, I'd rather choose something else."" <br> <br> A:  ""Do you prefer noisy or quiet restaurants?""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""I prefer quiet restaurants."" <br> <br> A: "" Let's go to a quiet
restaurant."" <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, let's choose a quiet restaurant. <br> <br> A:  ""Let's go to the Jiliya restaurant""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, I'll call to book a table.""<br> <br> </b>",,,,,,,,,,,,,,,
1048705549,9/23/2016 13:03:05,2135156791,9/23/2016 12:59:44,false,neodev,0.4643,29042907,ROU,14,Constanta,5.14.44.176,,0,4,1,3,3,3,4,3,1,0,4,4,1,0," <b> A:  ""What kind of food do you like?""  <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Japanese is my favorite food."" <br> <br> A:  ""Let's eat Japanese food tonight.""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, let's eat Japanese."" <br> <br> A: ""Let's go to the Samura restaurant"" <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Sorry, I'd rather choose something else."" <br> <br> A:  ""Do you prefer noisy or quiet restaurants?""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""I prefer quiet restaurants."" <br> <br> A: "" Let's go to a quiet
restaurant."" <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, let's choose a quiet restaurant. <br> <br> A:  ""Let's go to the Jiliya restaurant""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, I'll call to book a table.""<br> <br> </b>",,,,,,,,,,,,,,,
1048705549,9/23/2016 13:07:16,2135163357,9/23/2016 12:59:42,false,neodev,0.3333,31450350,ROU,30,Ploiesti,95.77.99.177,,1,2,1,1,3,1,1,2,2,2,1,0,1,3," <b> A:  ""What kind of food do you like?""  <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Japanese is my favorite food."" <br> <br> A:  ""Let's eat Japanese food tonight.""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, let's eat Japanese."" <br> <br> A: ""Let's go to the Samura restaurant"" <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Sorry, I'd rather choose something else."" <br> <br> A:  ""Do you prefer noisy or quiet restaurants?""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""I prefer quiet restaurants."" <br> <br> A: "" Let's go to a quiet
restaurant."" <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, let's choose a quiet restaurant. <br> <br> A:  ""Let's go to the Jiliya restaurant""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, I'll call to book a table.""<br> <br> </b>",,,,,,,,,,,,,,,
1048705549,9/23/2016 13:09:38,2135166785,9/23/2016 12:58:49,false,clixsense,0.4048,33899112,VEN,18,Acarigua,186.14.2.125,,3,2,1,4,4,3,1,3,1,2,4,1,3,0," <b> A:  ""What kind of food do you like?""  <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Japanese is my favorite food."" <br> <br> A:  ""Let's eat Japanese food tonight.""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, let's eat Japanese."" <br> <br> A: ""Let's go to the Samura restaurant"" <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Sorry, I'd rather choose something else."" <br> <br> A:  ""Do you prefer noisy or quiet restaurants?""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""I prefer quiet restaurants."" <br> <br> A: "" Let's go to a quiet
restaurant."" <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, let's choose a quiet restaurant. <br> <br> A:  ""Let's go to the Jiliya restaurant""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, I'll call to book a table.""<br> <br> </b>",,,,,,,,,,,,,,,
1048705549,9/23/2016 13:16:11,2135177433,9/23/2016 13:06:57,false,clixsense,0.3929,33454873,BRA,27,Cotia,187.34.153.214,The questions were very clear as my interpretation.,3,3,1,3,1,3,4,1,1,3,4,1,3,0," <b> A:  ""What kind of food do you like?""  <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Japanese is my favorite food."" <br> <br> A:  ""Let's eat Japanese food tonight.""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, let's eat Japanese."" <br> <br> A: ""Let's go to the Samura restaurant"" <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Sorry, I'd rather choose something else."" <br> <br> A:  ""Do you prefer noisy or quiet restaurants?""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""I prefer quiet restaurants."" <br> <br> A: "" Let's go to a quiet
restaurant."" <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, let's choose a quiet restaurant. <br> <br> A:  ""Let's go to the Jiliya restaurant""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, I'll call to book a table.""<br> <br> </b>",,,,,,,,,,,,,,,
1048705549,9/23/2016 13:17:47,2135180341,9/23/2016 12:59:52,false,clixsense,0.3651,35338593,ITA,14,Sestu,151.56.123.19,"None, it was all OK.",3,2,3,4,0,4,1,1,1,2,4,3,1,0," <b> A:  ""What kind of food do you like?""  <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Japanese is my favorite food."" <br> <br> A:  ""Let's eat Japanese food tonight.""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, let's eat Japanese."" <br> <br> A: ""Let's go to the Samura restaurant"" <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Sorry, I'd rather choose something else."" <br> <br> A:  ""Do you prefer noisy or quiet restaurants?""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""I prefer quiet restaurants."" <br> <br> A: "" Let's go to a quiet
restaurant."" <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, let's choose a quiet restaurant. <br> <br> A:  ""Let's go to the Jiliya restaurant""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, I'll call to book a table.""<br> <br> </b>",,,,,,,,,,,,,,,
1048705549,9/23/2016 13:18:30,2135181382,9/23/2016 13:00:02,false,elite,0.3016,33017350,IND,09,Vadodara,210.89.56.198,,1,3,3,3,1,2,1,2,2,2,2,2,1,1," <b> A:  ""What kind of food do you like?""  <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Japanese is my favorite food."" <br> <br> A:  ""Let's eat Japanese food tonight.""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, let's eat Japanese."" <br> <br> A: ""Let's go to the Samura restaurant"" <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Sorry, I'd rather choose something else."" <br> <br> A:  ""Do you prefer noisy or quiet restaurants?""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""I prefer quiet restaurants."" <br> <br> A: "" Let's go to a quiet
restaurant."" <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, let's choose a quiet restaurant. <br> <br> A:  ""Let's go to the Jiliya restaurant""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, I'll call to book a table.""<br> <br> </b>",,,,,,,,,,,,,,,
1048705549,9/23/2016 13:31:34,2135205557,9/23/2016 13:30:21,false,clixsense,0.2786,36759610,ESP,56,Tarragona,81.37.179.143,,3,3,2,3,2,2,3,0,2,1,1,2,2,3," <b> A:  ""What kind of food do you like?""  <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Japanese is my favorite food."" <br> <br> A:  ""Let's eat Japanese food tonight.""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, let's eat Japanese."" <br> <br> A: ""Let's go to the Samura restaurant"" <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Sorry, I'd rather choose something else."" <br> <br> A:  ""Do you prefer noisy or quiet restaurants?""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""I prefer quiet restaurants."" <br> <br> A: "" Let's go to a quiet
restaurant."" <br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, let's choose a quiet restaurant. <br> <br> A:  ""Let's go to the Jiliya restaurant""<br> <br> &nbsp&nbsp&nbsp&nbspB: ""Okay, I'll call to book a table.""<br> <br> </b>",,,,,,,,,,,,,,,
